formal_name	diminutive_names	sex
Abigail	Abbey,Abbi,Abbie,Abby,Abi,Gail,Gayle	F
Adelaide	Addie	F
Adele	Addie	F
Adeline	Addie	F
Agatha	Aggie	F
Agnes	Aggie,Nessie	F
Alexa	Lexi	F
Alexandra	Allie,Ally,Aly,Lexi,Lexie,Sandy	F
Alexia	Lexi,Lexie	F
Alexis	Lexi,Lexie	F
Alice	Ally	F
Alison	Ali,Allie,Ally,Aly	F
Allie	Ali	F
Allison	Ali	F
Allyson	Ali	F
Alyson	Ali	F
Alyssa	Aly	F
Amanda	Mandy	F
Amelia	Millie	F
Andrea	Andy	F
Angela	Ange,Angie	F
Ann	Annie,Jo,Nan,Nannie,Nanny	F
Annabelle	Belle	F
Anne	Nanny	F
Annette	Nettie	F
Annie	Nannie	F
Antonia	Toni,Tonia	F
Arabella	Bella	F
Ashlee	Ash	F
Ashley	Ash	F
Audrey	Audie	F
Barbara	Babs,Barb,Barbie	F
Beatrice	Bea,Trixie	F
Beatrix	Trixie	F
Becky	Becki,Beki	F
Belle	Bell	F
Bernadette	Bennie,Benny	F
Bernice	Bennie,Benny	F
Bessie	Bessy	F
Bethany	Beth	F
Betty	Bette	F
Bridget	Biddie,Biddy	F
Camilla	Millie,Milly	F
Candace	Candi,Candy	F
Candice	Candy	F
Caroline	Cal,Callie,Caro,Carrie,Cary	F
Carolyn	Lyn	F
Cassandra	Cass,Cassie	F
Catherine	Cat,Cate,Cath,Cathi,Cathie,Catie,Caty,Kate,Katie	F
Cathy	Cathi,Cathie	F
Cecilia	CeeCee,Ceecee,Sissy	F
Cecily	Cecie	F
Charlene	Charley,Charlie	F
Charlotte	Charley,Charlie,Lottie	F
Cherilyn	Cher	F
Christie	Christy,Kristi,Kristie,Kristy	F
Christina	Chris,Chrissie,Chrissy,Christy,Kris,Krissy,Kristi,Kristie,Kristy	F
Christine	Chrissie,Chrissy,Christie,Krissy	F
Clementine	Clem	F
Concepci	Connie	F
Constance	Connie	F
Cora	Corrie	F
Corinne	Corrie	F
Cornelia	Corrie	F
Cynthia	Cindy	F
Daniela	Danny	F
Daniella	Danny	F
Danielle	Dani,Danny	F
Deborah	Deb,Debbie,Debby	F
Diana	Di	F
Dolores	Dolly	F
Dorothy	Dodie,Doll,Dolly,Dot	F
Eleanor	Ellie,Nell,Nellie,Nelly	F
Elisabeth	Beth	F
Elizabeth	Bess,Bessie,Bessy,Beth,Betsy,Bette,Betty,Ellie,Izzy,Libby,Lilibet,Liz,Lizzie,Lizzy	F
Ellen	Nell	F
Emily	Em,Emmie,Emmy,Millie,Milly	F
Emma	Em,Emmie,Emmy	F
Emmy	Emmie	F
Esther	Essie,Hettie,Hetty	F
Ethel	Eth	F
Euphemia	Effie,Phemie	F
Eva	Evie	F
Evangeline	Evie	F
Eve	Evie	F
Evelyn	Evie,Lyn	F
Faith	Fay	F
Fay	Faye	F
Felicity	Fliss	F
Fiona	Fi	F
Flora	Flo,Florrie	F
Florence	Flo,Florrie,Flossie,Flossy,Floy	F
