date,action,type,related_entities,actor
2013-12-01 00:00:00,Prefiled,[u'other'],[],upper
2014-01-08 00:00:00,S First Read--SB 493-Pearce,[u'bill:reading:1'],[],upper
2014-01-09 00:00:00,Second Read and Referred S Education Committee,"[u'bill:reading:2', u'committee:referred']",[],upper
2014-01-22 00:00:00,Hearing Scheduled But Not Heard S Education Committee,[u'other'],[],upper
2014-01-29 00:00:00,Hearing Conducted S Education Committee,[u'other'],[],upper
2014-02-20 00:00:00,"SCS Voted Do Pass (w/SCS SBs 493, 485, 495, 516, 534, 545, 595, 616 & 624) S Education Committee - 4627S.06C",[u'other'],[],upper
2014-02-24 00:00:00,Reported from S Education Committee to Floor w/SCS,[u'other'],[],upper
2014-02-25 00:00:00,SA 1 to SCS S offered & adopted (Nasheed)--(4627S06.14S),[u'other'],[],upper
2014-02-25 00:00:00,Bill Placed on Informal Calendar,[u'other'],[],upper
2014-02-25 00:00:00,SA 2 to SCS S offered (Pearce)--(4627S06.06S),[u'other'],[],upper
2014-02-25 00:00:00,SSA 1 for SA 2 to SCS S offered (Emery)--(4627S06.29S),[u'other'],[],upper
2014-02-25 00:00:00,SA 1 to SSA 1 for SA 2 to SCS S offered & adopted (Dempsey)--(4627S06.31S),[u'other'],[],upper
2014-02-25 00:00:00,"SSA 1 for SA 2 to SCS, as amended, S adopted",[u'bill:passed'],[],upper
2014-02-25 00:00:00,SA 3 to SCS S offered (Holsman)--(4627S06.16S),[u'other'],[],upper
2014-02-25 00:00:00,SSA 1 for SA 3 to SCS S offered (Dempsey)--(4627S06.20S),[u'other'],[],upper
2014-02-25 00:00:00,SA 1 to SSA 1 for SA 3 to SCS S offered & defeated (Holsman)--(4627S06.36S),[u'other'],[],upper
2014-02-25 00:00:00,SSA 1 for SA 3 to SCS S withdrawn,[u'other'],[],upper
2014-02-25 00:00:00,SSA 2 for SA 3 to SCS S offered (Dempsey)--(4627S06.40S),[u'other'],[],upper
2014-02-25 00:00:00,SA 1 to SSA 2 for SA 3 to SCS S offered & adopted (Chappelle-Nadal)--(4627S06.43S),[u'other'],[],upper
2014-02-25 00:00:00,SA 2 to SSA 2 for SA 3 to SCS S offered & defeated (Pearce)--(4627S06.41S),[u'other'],[],upper
2014-02-25 00:00:00,"SSA 2 for SA 3 to SCS, as amended, S adopted",[u'bill:passed'],[],upper
2014-02-25 00:00:00,Bill Placed on Informal Calendar,[u'other'],[],upper
2014-02-26 00:00:00,SA 4 to SCS S offered & adopted (Schaefer)--(4627S06.47S),[u'other'],[],upper
2014-02-26 00:00:00,SA 5 to SCS S offered & adopted (Lager)--(8000S14.01S),[u'other'],[],upper
2014-02-26 00:00:00,SA 6 to SCS S offered & withdrawn (Lager)--(8002S14.01S),[u'other'],[],upper
2014-02-26 00:00:00,SA 7 to SCS S offered (Pearce)--(4627S06.52S),[u'other'],[],upper
2014-02-26 00:00:00,Bill Placed on Informal Calendar,[u'other'],[],upper
2014-02-26 00:00:00,SA 7 to SCS S adopted,[u'bill:passed'],[],upper
2014-02-26 00:00:00,SA 8 to SCS S offered & defeated (Emery)--(4627S06.18S),[u'other'],[],upper
2014-02-26 00:00:00,SA 9 to SCS S offered & adopted (Schmitt)--(4627S06.54S),[u'other'],[],upper
2014-02-26 00:00:00,SA 10 to SCS S offered & Ruled out of order (Keaveny)--(4627S06.17S),[u'other'],[],upper
2014-02-26 00:00:00,SA 11 to SCS S offered & adopted (Curls)--(4627S06.01S),[u'other'],[],upper
